序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,Week
98,美國,獅子王,2019/7/17,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",1,167,-54.12%,"17,380","1,320,356","314,948,562",20200120
106,美國,獅子王,2019/7/17,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",3,364,4.00%,"35,500","1,320,189","314,931,182",20200113
110,美國,獅子王,2019/7/17,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",2,350,1.16%,"27,150","1,319,825","314,895,682",20200106
80,中華民國,返校,2019/9/20,影一製作所股份有限公司,影一製作所股份有限公司##遊戲橘子數位科技股份有限公司##英屬維京群島商敦宜股份有限公司台灣分公司##樂到家國際娛樂股份有限公司##一條龍虎豹國際娛樂有限公司##財團法人臺中市影視發展基金會##高雄市電影館##美商華納兄弟（遠東）股份有限公司台灣分公司,3,246,-71.43%,"14,190","1,120,671","260,442,080",20200203
71,中華民國,返校,2019/9/20,影一製作所股份有限公司,影一製作所股份有限公司##遊戲橘子數位科技股份有限公司##英屬維京群島商敦宜股份有限公司台灣分公司##樂到家國際娛樂股份有限公司##一條龍虎豹國際娛樂有限公司##財團法人臺中市影視發展基金會##高雄市電影館##美商華納兄弟（遠東）股份有限公司台灣分公司,4,861,-39.71%,"64,050","1,120,425","260,427,890",20200127
89,中華民國,返校,2019/9/20,影一製作所股份有限公司,影一製作所股份有限公司##遊戲橘子數位科技股份有限公司##英屬維京群島商敦宜股份有限公司台灣分公司##樂到家國際娛樂股份有限公司##一條龍虎豹國際娛樂有限公司##財團法人臺中市影視發展基金會##高雄市電影館##美商華納兄弟（遠東）股份有限公司台灣分公司,10,"1,428",-38.26%,"113,370","1,119,564","260,363,840",20200120
98,中華民國,返校,2019/9/20,影一製作所股份有限公司,影一製作所股份有限公司##遊戲橘子數位科技股份有限公司##英屬維京群島商敦宜股份有限公司台灣分公司##樂到家國際娛樂股份有限公司##一條龍虎豹國際娛樂有限公司##財團法人臺中市影視發展基金會##高雄市電影館##美商華納兄弟（遠東）股份有限公司台灣分公司,10,"2,313",-9.51%,"191,735","1,118,136","260,250,470",20200113
98,中華民國,返校,2019/9/20,影一製作所股份有限公司,影一製作所股份有限公司##遊戲橘子數位科技股份有限公司##英屬維京群島商敦宜股份有限公司台灣分公司##樂到家國際娛樂股份有限公司##一條龍虎豹國際娛樂有限公司##財團法人臺中市影視發展基金會##高雄市電影館##美商華納兄弟（遠東）股份有限公司台灣分公司,9,"2,556",-18.29%,"203,975","1,115,823","260,058,735",20200106
52,美國,野蠻遊戲：全面晉級,2019/12/4,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,12,357,-85.89%,"89,470","806,110","190,009,570",20200203
44,美國,野蠻遊戲：全面晉級,2019/12/4,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,28,"2,531",-60.15%,"606,907","805,753","189,920,100",20200127
48,美國,野蠻遊戲：全面晉級,2019/12/4,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,71,"6,343",-50.77%,"1,515,670","803,214","189,311,613",20200120
56,美國,野蠻遊戲：全面晉級,2019/12/4,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,85,"12,885",-23.87%,"3,043,863","796,871","187,795,943",20200113
43,香港,葉問4：完結篇,2019/12/19,華映娛樂股份有限公司,東方影業出品有限公司,40,"1,011",-85.90%,"244,762","806,294","185,081,448",20200203
38,香港,葉問4：完結篇,2019/12/19,華映娛樂股份有限公司,東方影業出品有限公司,60,"7,171",-58.00%,"1,726,778","805,283","184,836,686",20200127
56,美國,野蠻遊戲：全面晉級,2019/12/4,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,89,"16,926",-64.83%,"3,982,228","783,986","184,752,080",20200106
39,香港,葉問4：完結篇,2019/12/19,華映娛樂股份有限公司,東方影業出品有限公司,95,"16,972",-54.26%,"3,991,597","798,012","183,089,238",20200120
41,香港,葉問4：完結篇,2019/12/19,華映娛樂股份有限公司,東方影業出品有限公司,96,"37,108",-41.25%,"8,580,128","781,040","179,097,641",20200113
38,香港,葉問4：完結篇,2019/12/19,華映娛樂股份有限公司,東方影業出品有限公司,95,"63,159",-65.24%,"14,671,736","743,932","170,517,513",20200106
82,日本,天氣之子,2019/9/12,車庫娛樂股份有限公司,"TOHO CO., LTD.",10,"1,365",-52.75%,"108,765","691,476","165,352,565",20200203
72,日本,天氣之子,2019/9/12,車庫娛樂股份有限公司,"TOHO CO., LTD.",10,"2,889",105.92%,"238,245","690,111","165,243,800",20200127
90,日本,天氣之子,2019/9/12,車庫娛樂股份有限公司,"TOHO CO., LTD.",10,"1,403",2162.90%,"117,885","687,222","165,005,555",20200120
99,日本,天氣之子,2019/9/12,車庫娛樂股份有限公司,"TOHO CO., LTD.",1,62,416.67%,"28,065","685,819","164,887,670",20200113
101,日本,天氣之子,2019/9/12,車庫娛樂股份有限公司,"TOHO CO., LTD.",1,12,0.00%,"5,534","685,757","164,859,605",20200106
100,美國,全面攻佔3: 天使救援,2019/8/21,海樂影業股份有限公司,"NU IMAGE,INC.",1,66,-44.07%,"3,630","637,153","147,436,187",20200113
103,美國,全面攻佔3: 天使救援,2019/8/21,海樂影業股份有限公司,"NU IMAGE,INC.",2,118,-62.78%,"6,865","637,087","147,432,557",20200106
87,南韓,寄生上流,2019/6/28,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,CJ ENM CO. LTD,19,657,-23.87%,"158,398","629,945","146,857,428",20200203
76,南韓,寄生上流,2019/6/28,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,CJ ENM CO. LTD,15,863,-13.18%,"201,604","629,288","146,699,030",20200127
99,南韓,寄生上流,2019/6/28,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,CJ ENM CO. LTD,14,"1,006",105.73%,"230,883","628,437","146,499,746",20200120
107,南韓,寄生上流,2019/6/28,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,CJ ENM CO. LTD,6,489,164.32%,"113,415","627,431","146,268,863",20200113
111,南韓,寄生上流,2019/6/28,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,CJ ENM CO. LTD,3,185,0.00%,"42,790","626,942","146,155,448",20200106
74,美國,黑魔女2,2019/10/17,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",8,"1,027",-41.98%,"91,435","589,257","137,737,736",20200203
66,美國,黑魔女2,2019/10/17,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",10,"1,770",28.17%,"152,425","588,230","137,646,301",20200127
79,美國,黑魔女2,2019/10/17,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",8,"1,381",-33.16%,"105,585","586,460","137,493,876",20200120
86,美國,黑魔女2,2019/10/17,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",7,"2,066",37.83%,"136,770","585,079","137,388,291",20200113
85,美國,黑魔女2,2019/10/17,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",7,"1,499",18637.50%,"96,570","583,013","137,251,521",20200106
